Line#,Date,"Wind Speed (RXW-WCF 21198259:21398712-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21398709-1),m/s,RX3000_BRW1_TNHA","Wind Speed (S-WSB 21198259:21176861-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21206909-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21398716-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21181033-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21198259:21398715-1),m/s,RX3000_BRW1_TNHA","Wind Speed (RXW-WCF 21401801:21206911-1),m/s,RX3000_BRW4_SSMH","Wind Speed (RXW-WCF 21401801:21206912-1),m/s,RX3000_BRW4_SSMH","Wind Speed (RXW-WCF 21401801:21206911-1),m/s,RX3000_BRW4_HOSPITAL","Wind Speed (RXW-WCF 21401801:21398711-1),m/s,RX3000_BRW4_SSMH","Wind Speed (S-WSB 21401801:21350901-1),m/s,RX3000_BRW4_SSMH","Wind Speed (RXW-WCF 21401801:21206911-1),m/s,RX3000_BRW4_Hospital","Wind Speed (RXW-WCF 21401801:21206912-1),m/s,RX3000_BRW4_HOSPITAL","Wind Speed (RXW-WCF 21401801:21206912-1),m/s,RX3000_BRW4_Hospital","Wind Speed (S-WSB 21401801:21350910-1),m/s,RX3000_BRW4_HOSPITAL","Wind Speed (S-WSB 21401801:21350910-1),m/s,RX3000_BRW4_SSMH","Wind Speed (S-WSB 21401801:21350910-1),m/s,RX3000_BRW4_Hospital","Wind Speed (S-WSB 21401803:21350915-1),m/s,RX3000_BRW6_BEO","Wind Speed (S-WSB 21401803:21350915-1),m/s,RX3000_BRW6","Wind Speed (S-WSB 21401803:21350901-1),m/s,RX3000_BRW6","Wind Direction (S-WDA 21401803:21350855-1),°,RX3000_BRW6_BEO","Wind Direction (S-WDA 21401803:21350855-1),°,RX3000_BRW6","Wind Direction (S-WDA 21401803:21350819-1),°,RX3000_BRW6","Wind Direction (RXW-WCF 21401801:21206911-3),°,RX3000_BRW4_SSMH","Wind Direction (S-WDA 21401801:21350820-1),°,RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21398711-3),°,RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21206912-3),°,RX3000_BRW4_SSMH","Wind Direction (S-WDA 21401801:21350820-1),°,RX3000_BRW4","Wind Direction (RXW-WCF 21401801:21206912-3),°,RX3000_BRW4","Wind Direction (RXW-WCF 21401801:21206911-3),°,RX3000_BRW4","Wind Direction (RXW-WCF 21401801:21206911-3),°,RX3000_BRW4_HOSPITAL","Wind Direction (RXW-WCF 21401801:21206911-3),°,RX3000_BRW4_Hospital","Wind Direction (RXW-WCF 21401801:21206912-3),°,RX3000_BRW4_HOSPITAL","Wind Direction (RXW-WCF 21401801:21206912-3),°,RX3000_BRW4_Hospital","Wind Direction (S-WDA 21401801:21350820-1),°,RX3000_BRW4_HOSPITAL","Wind Direction (S-WDA 21401801:21350820-1),°,RX3000_BRW4_Hospital"
1,04/09/25 18:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,117,,,,,,,,,,,,,,,
2,04/09/25 19:00:00 +0000,,0,0,0,0,,,0.3,,,,0,,,,,,,,,,,,,316,258,,,,,,,,,,,
3,04/09/25 19:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,119,,,,,,,,,,,,,,,
4,04/09/25 20:00:00 +0000,,0,0,0,0,,,0.3,,,,0,,,,,,,,,,,,,316,268,,,,,,,,,,,
5,04/09/25 20:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,126,,,,,,,,,,,,,,,
6,04/09/25 21:00:00 +0000,,0,0,0,0,,,0.3,,,,0,,,,,,,,,,,,,313,270,,,,,,,,,,,
7,04/09/25 21:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,126,,,,,,,,,,,,,,,
8,04/09/25 22:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,341,305,,,,,,,,,,,
9,04/09/25 22:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,126,,,,,,,,,,,,,,,
10,04/09/25 23:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,358,302,,,,,,,,,,,
11,04/09/25 23:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,125,,,,,,,,,,,,,,,
12,04/10/25 00:00:00 +0000,,0,0,0,0,,,0.3,,,,0,,,,,,,,,,,,,344,320,,,,,,,,,,,
13,04/10/25 00:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,125,,,,,,,,,,,,,,,
14,04/10/25 01:00:00 +0000,,0,0,0,0,,,0.3,,,,0,,,,,,,,,,,,,344,271,,,,,,,,,,,
15,04/10/25 01:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,125,,,,,,,,,,,,,,,
16,04/10/25 02:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,344,268,,,,,,,,,,,
17,04/10/25 02:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,161,,,,,,,,,,,,,,,
18,04/10/25 03:00:00 +0000,,0,0,0,0,,,0.3,,,,0,,,,,,,,,,,,,37,244,,,,,,,,,,,
19,04/10/25 03:25:00 +0000,,,,,,,,,,,,,,,,,,,0.5,,,314,,,,,,,,,,,,,,,
20,04/10/25 04:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,44,265,,,,,,,,,,,
21,04/10/25 04:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,317,,,,,,,,,,,,,,,
22,04/10/25 05:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,44,267,,,,,,,,,,,
23,04/10/25 05:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,317,,,,,,,,,,,,,,,
24,04/10/25 06:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,44,267,,,,,,,,,,,
25,04/10/25 06:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,317,,,,,,,,,,,,,,,
26,04/10/25 07:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,44,267,,,,,,,,,,,
27,04/10/25 07:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,317,,,,,,,,,,,,,,,
28,04/10/25 08:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,44,265,,,,,,,,,,,
29,04/10/25 08:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,317,,,,,,,,,,,,,,,
30,04/10/25 09:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,44,265,,,,,,,,,,,
31,04/10/25 09:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,317,,,,,,,,,,,,,,,
32,04/10/25 10:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,44,265,,,,,,,,,,,
33,04/10/25 10:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,317,,,,,,,,,,,,,,,
34,04/10/25 11:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,44,265,,,,,,,,,,,
35,04/10/25 11:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,317,,,,,,,,,,,,,,,
36,04/10/25 12:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,44,265,,,,,,,,,,,
37,04/10/25 12:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,343,,,,,,,,,,,,,,,
38,04/10/25 13:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,44,265,,,,,,,,,,,
39,04/10/25 13:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,25,,,,,,,,,,,,,,,
40,04/10/25 14:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,44,267,,,,,,,,,,,
41,04/10/25 14:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,25,,,,,,,,,,,,,,,
42,04/10/25 15:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,42,275,,,,,,,,,,,
43,04/10/25 15:25:00 +0000,,,,,,,,,,,,,,,,,,,0,,,25,,,,,,,,,,,,,,,
44,04/10/25 16:00:00 +0000,,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,42,286,,,,,,,,,,,
45,04/10/25 17:00:00 +0000,,,,,,,,0,,,,0,,,,,,,,,,,,,42,329,,,,,,,,,,,
