Line#,Date,"Wind Direction (S-WDA 21198259:21167037-1), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21181033-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21398709-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21206909-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21401801:21206911-3), *, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21206912-3), *, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21398711-3), *, RX3000_BRW4_SSMH","Wind Direction (S-WDA 21401801:21350820-1), *, RX3000_BRW4_SSMH","Wind Direction (S-WDA 21401803:21350855-1), *, RX3000_BRW6_BEO"
1,12/01/23 00:00:00,212,136,107,327,,,,260,
2,12/01/23 00:05:00,,,,,,,,258,
3,12/01/23 00:10:00,,,,,,,,260,168
4,12/01/23 00:15:00,,,,,,,,258,
5,12/01/23 00:20:00,,,,,,,,258,
6,12/01/23 00:25:00,,,,,,,,258,
7,12/01/23 00:30:00,,,,,,,,258,
8,12/01/23 00:35:00,,,,,,,,258,
9,12/01/23 00:40:00,,,,,,,,258,
10,12/01/23 00:45:00,,,,,,,,258,
11,12/01/23 00:50:00,,,,,,,,258,
12,12/01/23 00:55:00,,,,,,,,258,
13,12/01/23 01:00:00,213,125,107,310,,,,258,
14,12/01/23 01:05:00,,,,,,,,258,
15,12/01/23 01:10:00,,,,,,,,258,167
16,12/01/23 01:15:00,,,,,,,,258,
17,12/01/23 01:20:00,,,,,,,,258,
18,12/01/23 01:25:00,,,,,,,,257,
19,12/01/23 01:30:00,,,,,,,,256,
20,12/01/23 01:35:00,,,,,,,,256,
21,12/01/23 01:40:00,,,,,,,,230,
22,12/01/23 01:45:00,,,,,,,,194,
23,12/01/23 01:50:00,,,,,,,,187,
24,12/01/23 01:55:00,,,,,,,,187,
25,12/01/23 02:00:00,213,122,107,344,,,,184,
26,12/01/23 02:05:00,,,,,,,,175,
27,12/01/23 02:10:00,,,,,,,,195,167
28,12/01/23 02:15:00,,,,,,,,191,
29,12/01/23 02:20:00,,,,,,,,98,
30,12/01/23 02:25:00,,,,,,,,91,
31,12/01/23 02:30:00,,,,,,,,94,
32,12/01/23 02:35:00,,,,,,,,171,
33,12/01/23 02:40:00,,,,,,,,153,
34,12/01/23 02:45:00,,,,,,,,136,
35,12/01/23 02:50:00,,,,,,,,88,
36,12/01/23 02:55:00,,,,,,,,94,
37,12/01/23 03:00:00,340,126,112,119,,,,94,
38,12/01/23 03:05:00,,,,,,,,94,
39,12/01/23 03:10:00,,,,,,,,90,126
40,12/01/23 03:15:00,,,,,,,,83,
41,12/01/23 03:20:00,,,,,,,,81,
42,12/01/23 03:25:00,,,,,,,,90,
43,12/01/23 03:30:00,,,,,,,,76,
44,12/01/23 03:35:00,,,,,,,,102,
45,12/01/23 03:40:00,,,,,,,,104,
46,12/01/23 03:45:00,,,,,,,,114,
47,12/01/23 03:50:00,,,,,,,,108,
48,12/01/23 03:55:00,,,,,,,,73,
49,12/01/23 04:00:00,343,122,114,117,,,,63,
50,12/01/23 04:05:00,,,,,,,,72,
51,12/01/23 04:10:00,,,,,,,,79,97
52,12/01/23 04:15:00,,,,,,,,79,
53,12/01/23 04:20:00,,,,,,,,93,
54,12/01/23 04:25:00,,,,,,,,76,
55,12/01/23 04:30:00,,,,,,,,87,
56,12/01/23 04:35:00,,,,,,,,79,
57,12/01/23 04:40:00,,,,,,,,72,
58,12/01/23 04:45:00,,,,,,,,80,
59,12/01/23 04:50:00,,,,,,,,73,
60,12/01/23 04:55:00,,,,,,,,74,
61,12/01/23 05:00:00,344,121,107,118,,,,77,
62,12/01/23 05:05:00,,,,,,,,90,
63,12/01/23 05:10:00,,,,,,,,90,94
64,12/01/23 05:15:00,,,,,,,,98,
65,12/01/23 05:20:00,,,,,,,,87,
66,12/01/23 05:25:00,,,,,,,,98,
67,12/01/23 05:30:00,,,,,,,,76,
68,12/01/23 05:35:00,,,,,,,,101,
69,12/01/23 05:40:00,,,,,,,,88,
70,12/01/23 05:45:00,,,,,,,,100,
71,12/01/23 05:50:00,,,,,,,,77,
72,12/01/23 05:55:00,,,,,,,,84,
73,12/01/23 06:00:00,347,125,110,118,,,,122,
74,12/01/23 06:05:00,,,,,,,,97,
75,12/01/23 06:10:00,,,,,,,,100,97
76,12/01/23 06:15:00,,,,,,,,91,
77,12/01/23 06:20:00,,,,,,,,84,
78,12/01/23 06:25:00,,,,,,,,84,
79,12/01/23 06:30:00,,,,,,,,104,
80,12/01/23 06:35:00,,,,,,,,70,
81,12/01/23 06:40:00,,,,,,,,84,
82,12/01/23 06:45:00,,,,,,,,97,
83,12/01/23 06:50:00,,,,,,,,118,
84,12/01/23 06:55:00,,,,,,,,97,
85,12/01/23 07:00:00,345,128,107,118,,,,94,
86,12/01/23 07:05:00,,,,,,,,88,
87,12/01/23 07:10:00,,,,,,,,95,94
88,12/01/23 07:15:00,,,,,,,,83,
89,12/01/23 07:20:00,,,,,,,,79,
90,12/01/23 07:25:00,,,,,,,,84,
91,12/01/23 07:30:00,,,,,,,,101,
92,12/01/23 07:35:00,,,,,,,,104,
93,12/01/23 07:40:00,,,,,,,,83,
94,12/01/23 07:45:00,,,,,,,,93,
95,12/01/23 07:50:00,,,,,,,,81,
96,12/01/23 07:55:00,,,,,,,,81,
97,12/01/23 08:00:00,347,128,108,118,,,,80,
98,12/01/23 08:05:00,,,,,,,,91,
99,12/01/23 08:10:00,,,,,,,,73,94
100,12/01/23 08:15:00,,,,,,,,88,
101,12/01/23 08:20:00,,,,,,,,93,
102,12/01/23 08:25:00,,,,,,,,101,
103,12/01/23 08:30:00,,,,,,,,97,
104,12/01/23 08:35:00,,,,,,,,102,
105,12/01/23 08:40:00,,,,,,,,80,
106,12/01/23 08:45:00,,,,,,,,93,
107,12/01/23 08:50:00,,,,,,,,95,
108,12/01/23 08:55:00,,,,,,,,76,
109,12/01/23 09:00:00,351,132,111,119,,,,102,
110,12/01/23 09:05:00,,,,,,,,97,
111,12/01/23 09:10:00,,,,,,,,74,97
112,12/01/23 09:15:00,,,,,,,,77,
113,12/01/23 09:20:00,,,,,,,,81,
114,12/01/23 09:25:00,,,,,,,,80,
115,12/01/23 09:30:00,,,,,,,,67,
116,12/01/23 09:35:00,,,,,,,,73,
117,12/01/23 09:40:00,,,,,,,,87,
118,12/01/23 09:45:00,,,,,,,,80,
119,12/01/23 09:50:00,,,,,,,,83,
120,12/01/23 09:55:00,,,,,,,,87,
121,12/01/23 10:00:00,347,119,104,117,,,,101,
122,12/01/23 10:05:00,,,,,,,,84,
123,12/01/23 10:10:00,,,,,,,,91,98
124,12/01/23 10:15:00,,,,,,,,80,
125,12/01/23 10:20:00,,,,,,,,86,
126,12/01/23 10:25:00,,,,,,,,84,
127,12/01/23 10:30:00,,,,,,,,97,
128,12/01/23 10:35:00,,,,,,,,81,
129,12/01/23 10:40:00,,,,,,,,65,
130,12/01/23 10:45:00,,,,,,,,73,
131,12/01/23 10:50:00,,,,,,,,88,
132,12/01/23 10:55:00,,,,,,,,81,
133,12/01/23 11:00:00,343,119,101,115,,,,69,
134,12/01/23 11:05:00,,,,,,,,69,
135,12/01/23 11:10:00,,,,,,,,79,94
136,12/01/23 11:15:00,,,,,,,,70,
137,12/01/23 11:20:00,,,,,,,,66,
138,12/01/23 11:25:00,,,,,,,,69,
139,12/01/23 11:30:00,,,,,,,,76,
140,12/01/23 11:35:00,,,,,,,,73,
141,12/01/23 11:40:00,,,,,,,,77,
142,12/01/23 11:45:00,,,,,,,,104,
143,12/01/23 11:50:00,,,,,,,,94,
144,12/01/23 11:55:00,,,,,,,,83,
145,12/01/23 12:00:00,336,131,105,111,,,,65,
146,12/01/23 12:05:00,,,,,,,,73,
147,12/01/23 12:10:00,,,,,,,,77,86
148,12/01/23 12:15:00,,,,,,,,74,
149,12/01/23 12:20:00,,,,,,,,77,
150,12/01/23 12:25:00,,,,,,,,63,
151,12/01/23 12:30:00,,,,,,,,72,
152,12/01/23 12:35:00,,,,,,,,77,
153,12/01/23 12:40:00,,,,,,,,70,
154,12/01/23 12:45:00,,,,,,,,70,
155,12/01/23 12:50:00,,,,,,,,67,
156,12/01/23 12:55:00,,,,,,,,74,
157,12/01/23 13:00:00,338,135,100,110,,,,80,
158,12/01/23 13:05:00,,,,,,,,60,
159,12/01/23 13:10:00,,,,,,,,74,90
160,12/01/23 13:15:00,,,,,,,,69,
161,12/01/23 13:20:00,,,,,,,,83,
162,12/01/23 13:25:00,,,,,,,,76,
163,12/01/23 13:30:00,,,,,,,,83,
164,12/01/23 14:00:00,337,136,108,118,,,,,
165,12/01/23 14:10:00,,,,,,,,,93
166,12/01/23 15:00:00,329,135,93,115,,,,,
167,12/01/23 15:10:00,,,,,,,,,86
168,12/01/23 16:00:00,319,140,95,110,,,,,
169,12/01/23 16:10:00,,,,,,,,,81
170,12/01/23 17:00:00,316,136,88,108,,,,,
171,12/01/23 17:10:00,,,,,,,,,0
172,12/01/23 18:00:00,316,125,87,108,,,,,
173,12/01/23 18:10:00,,,,,,,,,0
174,12/01/23 19:00:00,327,136,102,49,,,,,
175,12/01/23 19:10:00,,,,,,,,,-888.88
176,12/01/23 20:00:00,324,142,126,102,,,,,
177,12/01/23 20:10:00,,,,,,,,,-888.88
178,12/01/23 21:00:00,340,136,122,102,,,,,
179,12/01/23 21:10:00,,,,,,,,,-888.88
180,12/01/23 22:00:00,324,139,118,101,,,,,
181,12/01/23 22:10:00,,,,,,,,,0
182,12/01/23 23:00:00,313,139,128,98,,,,,
183,12/01/23 23:10:00,,,,,,,,,-888.88
184,12/02/23 00:00:00,288,143,121,86,,,,,
185,12/02/23 00:10:00,,,,,,,,,0
186,12/02/23 01:00:00,291,139,122,94,,,,,
187,12/02/23 01:10:00,,,,,,,,,0
188,12/02/23 02:00:00,303,147,119,8,,,,,
189,12/02/23 03:00:00,296,157,114,1,,,,,
190,12/02/23 04:00:00,282,133,114,348,,,,,
191,12/02/23 04:10:00,,,,,,,152,,
192,12/02/23 04:20:00,,,,,,20,152,,
193,12/02/23 05:00:00,218,132,112,58,,,,,
194,12/02/23 05:25:00,,,,,,63,72,,
195,12/02/23 06:00:00,218,122,121,309,,,,,
196,12/02/23 06:40:00,,,,,,108,,,
197,12/02/23 06:45:00,,,,,,101,,,
198,12/02/23 06:50:00,,,,,,,97,,
199,12/02/23 07:00:00,232,129,122,307,,100,83,,
200,12/02/23 08:00:00,219,131,129,300,,,,,
201,12/02/23 08:45:00,,,,,,,72,,
202,12/02/23 09:00:00,218,118,145,241,,,,,
203,12/02/23 09:10:00,,,,,,100,74,,
204,12/02/23 09:25:00,,,,,,,77,,
205,12/02/23 09:55:00,,,,,,143,84,,
206,12/02/23 10:00:00,223,118,143,289,,,,,
207,12/02/23 11:00:00,219,125,139,291,,,,,
208,12/02/23 12:00:00,218,133,156,278,,,,,
209,12/02/23 13:00:00,212,128,129,299,,,,,
210,12/02/23 14:00:00,209,118,173,295,,,,,
211,12/02/23 15:00:00,212,115,163,300,,,,,
212,12/02/23 16:00:00,216,119,159,285,,,,,
213,12/02/23 17:00:00,213,124,178,307,,,,,
214,12/02/23 18:00:00,218,121,118,300,,,,,
215,12/02/23 19:00:00,218,129,174,278,,,,,
216,12/02/23 20:00:00,218,133,171,209,,,,,
217,12/02/23 21:00:00,218,136,163,171,,,,,
218,12/02/23 22:00:00,216,153,164,126,,,,,
219,12/02/23 23:00:00,216,136,173,129,,,,,
220,12/03/23 00:00:00,215,139,157,114,,,,,
221,12/03/23 01:00:00,213,121,147,118,,,,,
222,12/03/23 02:00:00,211,118,124,126,,,,,
223,12/03/23 03:00:00,209,128,126,126,,,67,,
224,12/03/23 03:10:00,,,,,,247,69,,
225,12/03/23 03:15:00,,,,,,250,69,,
226,12/03/23 03:20:00,,,,,,234,,,
227,12/03/23 03:25:00,,,,,,254,65,,
228,12/03/23 03:30:00,,,,,,,69,,
229,12/03/23 03:35:00,,,,,,243,65,,
230,12/03/23 03:50:00,,,,,,234,65,,
231,12/03/23 04:00:00,206,128,122,128,,230,,,
232,12/03/23 04:05:00,,,,,,222,,,
233,12/03/23 04:10:00,,,,,,247,65,,
234,12/03/23 04:15:00,,,,,,223,62,,
235,12/03/23 04:20:00,,,,,,240,,,
236,12/03/23 04:25:00,,,,,,236,62,,
237,12/03/23 04:30:00,,,,,,,65,,
238,12/03/23 04:35:00,,,,,,256,60,,
239,12/03/23 04:40:00,,,,,,240,,,
240,12/03/23 04:45:00,,,,,,,58,,
241,12/03/23 05:00:00,205,139,124,128,,,,,
242,12/03/23 05:05:00,,,,,,243,58,,
243,12/03/23 05:10:00,,,,,,244,,,
244,12/03/23 05:20:00,,,,,,,58,,
245,12/03/23 05:25:00,,,,,,234,58,,
246,12/03/23 05:35:00,,,,,,227,65,,
247,12/03/23 06:00:00,205,146,124,129,,,63,,
248,12/03/23 06:05:00,,,,,,,58,,
249,12/03/23 06:10:00,,,,,,254,,,
250,12/03/23 06:15:00,,,,,,246,67,,
251,12/03/23 06:35:00,,,,,,270,,,
252,12/03/23 06:40:00,,,,,,243,69,,
253,12/03/23 07:00:00,206,147,122,129,,,,,
254,12/03/23 07:15:00,,,,,,,62,,
255,12/03/23 07:20:00,,,,,,226,,,
256,12/03/23 07:25:00,,,,,,,56,,
257,12/03/23 07:40:00,,,,,,243,58,,
258,12/03/23 07:50:00,,,,,,229,46,,
259,12/03/23 07:55:00,,,,,,230,,,
260,12/03/23 08:00:00,205,143,128,128,,,,,
261,12/03/23 08:05:00,,,,,,230,,,
262,12/03/23 08:10:00,,,,,,,63,,
263,12/03/23 08:35:00,,,,,,,53,,
264,12/03/23 08:40:00,,,,,,223,46,,
265,12/03/23 08:45:00,,,,,,240,58,,
266,12/03/23 08:50:00,,,,,,219,,,
267,12/03/23 09:00:00,201,153,135,126,,,,,
268,12/03/23 09:05:00,,,,,,,59,,
269,12/03/23 09:15:00,,,,,,239,,,
270,12/03/23 09:20:00,,,,,,,66,,
271,12/03/23 09:25:00,,,,,,244,69,,
272,12/03/23 09:30:00,,,,,,244,,,
273,12/03/23 09:35:00,,,,,,220,,,
274,12/03/23 09:40:00,,,,,,261,74,,
275,12/03/23 10:00:00,208,174,125,128,,,,,
276,12/03/23 10:10:00,,,,,,254,77,,
277,12/03/23 10:40:00,,,,,,,80,,
278,12/03/23 10:45:00,,,,,,,76,,
279,12/03/23 10:50:00,,,,,,254,79,,
280,12/03/23 10:55:00,,,,,,229,80,,
281,12/03/23 11:00:00,209,167,131,126,,,,,
282,12/03/23 11:05:00,,,,,,241,74,,
283,12/03/23 11:10:00,,,,,,,80,,
284,12/03/23 11:15:00,,,,,,230,81,,
285,12/03/23 11:20:00,,,,,,236,77,,
286,12/03/23 11:25:00,,,,,,218,76,,
287,12/03/23 11:30:00,,,,,,,76,,
288,12/03/23 11:45:00,,,,,,142,93,,
289,12/03/23 11:50:00,,,,,,,88,,
290,12/03/23 12:00:00,212,163,138,124,,,,,
291,12/03/23 12:05:00,,,,,,,93,,
292,12/03/23 12:25:00,,,,,,,86,,
293,12/03/23 12:30:00,,,,,,188,87,,
294,12/03/23 12:35:00,,,,,,102,,,
295,12/03/23 12:40:00,,,,,,,87,,
296,12/03/23 12:45:00,,,,,,94,94,,
297,12/03/23 12:50:00,,,,,,177,,,
298,12/03/23 12:55:00,,,,,,188,,,
299,12/03/23 13:00:00,213,161,160,119,,124,90,,
300,12/03/23 13:05:00,,,,,,88,,,
301,12/03/23 13:10:00,,,,,,95,,,
302,12/03/23 13:20:00,,,,,,167,88,,
303,12/03/23 13:25:00,,,,,,93,,,
304,12/03/23 13:35:00,,,,,,,93,,
305,12/03/23 13:40:00,,,,,,,91,,
306,12/03/23 14:00:00,213,145,153,118,,,,,
307,12/03/23 14:05:00,,,,,,,104,,
308,12/03/23 14:15:00,,,,,,,95,,
309,12/03/23 14:20:00,,,,,,250,,,
310,12/03/23 14:25:00,,,,,,220,84,,
311,12/03/23 14:30:00,,,,,,244,,,
312,12/03/23 14:40:00,,,,,,105,,,
313,12/03/23 14:45:00,,,,,,112,,,
314,12/03/23 14:50:00,,,,,,111,95,,
315,12/03/23 14:55:00,,,,,,100,101,,
316,12/03/23 15:00:00,215,180,161,115,,,,,
317,12/03/23 15:05:00,,,,,,,90,,
318,12/03/23 15:10:00,,,,,,244,,,
319,12/03/23 15:15:00,,,,,,239,80,,
320,12/03/23 15:25:00,,,,,,351,87,,
321,12/03/23 15:30:00,,,,,,,94,,
322,12/03/23 15:50:00,,,,,,124,97,,
323,12/03/23 16:00:00,213,175,157,119,,,,,
324,12/03/23 16:05:00,,,,,,265,,,
325,12/03/23 16:15:00,,,,,,,94,,
326,12/03/23 16:50:00,,,,,,153,80,,
327,12/03/23 17:00:00,213,163,156,121,,,,,
328,12/03/23 17:45:00,,,,,,230,,,
329,12/03/23 18:00:00,208,171,131,126,,,,,
330,12/03/23 19:00:00,194,160,143,126,,,,,
331,12/03/23 19:10:00,,,,,,,48,,
332,12/03/23 19:15:00,,,,,,,45,,
333,12/03/23 19:20:00,,,,,,229,46,,
334,12/03/23 19:30:00,,,,,,232,,,
335,12/03/23 19:35:00,,,,,,229,41,,
336,12/03/23 19:40:00,,,,,,,52,,
337,12/03/23 19:45:00,,,,,,233,46,,
338,12/03/23 19:50:00,,,,,,239,45,,
339,12/03/23 19:55:00,,,,,,236,,,
340,12/03/23 20:00:00,91,157,153,125,,,,,
341,12/03/23 20:05:00,,,,,,222,51,,
342,12/03/23 20:10:00,,,,,,229,51,,
343,12/03/23 20:15:00,,,,,,223,,,
344,12/03/23 21:00:00,15,159,147,125,,,,,
345,12/03/23 22:00:00,195,159,143,125,,,,,
346,12/03/23 23:00:00,13,163,146,125,,,,,
347,12/04/23 00:00:00,358,174,156,124,,,,,
348,12/04/23 01:00:00,6,166,160,124,,,,,
349,12/04/23 02:00:00,354,154,160,125,,,,,
350,12/04/23 02:20:00,,,,,,226,37,,
351,12/04/23 02:25:00,,,,,,215,27,,
352,12/04/23 02:30:00,,,,,,216,27,,
353,12/04/23 02:35:00,,,,,,220,27,,
354,12/04/23 02:40:00,,,,,,,27,,
355,12/04/23 02:50:00,,,,,,,35,,
356,12/04/23 02:55:00,,,,,,226,,,
357,12/04/23 03:00:00,95,111,166,124,,215,34,,
358,12/04/23 03:05:00,,,,,,208,,,
359,12/04/23 03:10:00,,,,,,,32,,
360,12/04/23 03:20:00,,,,,,211,42,,
361,12/04/23 04:00:00,357,104,163,125,,,,,
362,12/04/23 04:20:00,,,,,,,31,,
363,12/04/23 04:35:00,,,,,,,45,,
364,12/04/23 04:45:00,,,,,,,38,,
365,12/04/23 04:55:00,,,,,,,55,,
366,12/04/23 05:00:00,222,104,150,125,,248,49,,
367,12/04/23 05:05:00,,,,,,,48,,
368,12/04/23 05:40:00,,,,,,239,46,,
369,12/04/23 05:45:00,,,,,,,44,,
370,12/04/23 05:55:00,,,,,,232,35,,
371,12/04/23 06:00:00,209,107,147,128,,,42,,
372,12/04/23 06:45:00,,,,,,216,42,,
373,12/04/23 06:50:00,,,,,,,41,,
374,12/04/23 06:55:00,,,,,,230,,,
375,12/04/23 07:00:00,204,101,147,126,,,41,,
376,12/04/23 07:05:00,,,,,,220,32,,
377,12/04/23 07:10:00,,,,,,216,28,,
378,12/04/23 07:15:00,,,,,,216,,,
379,12/04/23 07:20:00,,,,,,211,,,
380,12/04/23 07:25:00,,,,,,206,31,,
381,12/04/23 07:30:00,,,,,,205,31,,
382,12/04/23 07:35:00,,,,,,,31,,
383,12/04/23 07:40:00,,,,,,201,15,,
384,12/04/23 08:00:00,1,95,154,124,,,,,
385,12/04/23 08:45:00,,,,,,250,,,
386,12/04/23 08:50:00,,,,,,251,,,
387,12/04/23 09:00:00,306,98,146,122,,251,63,,
388,12/04/23 09:05:00,,,,,,,63,,
389,12/04/23 09:10:00,,,,,,248,63,,
390,12/04/23 09:15:00,,,,,,,63,,
391,12/04/23 09:30:00,,,,,,,72,,
392,12/04/23 09:35:00,,,,,,244,,,
393,12/04/23 09:40:00,,,,,,247,63,,
394,12/04/23 09:50:00,,,,,,246,,,
395,12/04/23 10:00:00,212,107,132,114,,,,,
396,12/04/23 10:05:00,,,,,,,70,,
397,12/04/23 10:50:00,,,,,,246,72,,
398,12/04/23 10:55:00,,,,,,,70,,
399,12/04/23 11:00:00,219,102,114,114,,,,,
400,12/04/23 11:05:00,,,,,,246,70,,
401,12/04/23 11:10:00,,,,,,246,,,
402,12/04/23 11:15:00,,,,,,,72,,
403,12/04/23 11:20:00,,,,,,,70,,
404,12/04/23 11:25:00,,,,,,,70,,
405,12/04/23 12:00:00,204,100,117,122,,,,,
406,12/04/23 13:00:00,204,98,117,125,,,,,
407,12/04/23 13:15:00,,,,,,239,70,,
408,12/04/23 13:20:00,,,,,,,70,,
409,12/04/23 13:25:00,,,,,,239,,,
410,12/04/23 13:30:00,,,,,,,70,,
411,12/04/23 13:35:00,,,,,,239,,,
412,12/04/23 13:40:00,,,,,,239,70,,
413,12/04/23 13:45:00,,,,,,241,,,
414,12/04/23 13:50:00,,,,,,243,72,,
415,12/04/23 13:55:00,,,,,,243,,,
416,12/04/23 14:00:00,205,95,112,125,,,70,,
417,12/04/23 14:05:00,,,,,,240,,,
418,12/04/23 14:10:00,,,,,,240,70,,
419,12/04/23 14:20:00,,,,,,222,,,
420,12/04/23 15:00:00,205,94,114,125,,,,,
421,12/04/23 15:15:00,,,,,,222,70,,
422,12/04/23 15:20:00,,,,,,222,70,,
423,12/04/23 15:30:00,,,,,,,70,,
424,12/04/23 15:35:00,,,,,,222,,,
425,12/04/23 15:40:00,,,,,,222,72,,
426,12/04/23 15:45:00,,,,,,,72,,
427,12/04/23 15:55:00,,,,,,222,72,,
428,12/04/23 16:00:00,205,91,121,126,,218,70,,
429,12/04/23 16:05:00,,,,,,218,70,,
430,12/04/23 16:20:00,,,,,,218,72,,
431,12/04/23 16:25:00,,,,,,218,72,,
432,12/04/23 16:30:00,,,,,,218,72,,
433,12/04/23 16:35:00,,,,,,,72,,
434,12/04/23 16:45:00,,,,,,218,,,
435,12/04/23 17:00:00,199,90,124,128,,,,,
436,12/04/23 18:00:00,204,88,124,125,,,,,
437,12/04/23 19:00:00,208,90,128,124,,,,,
438,12/04/23 20:00:00,206,90,128,126,,,,,
439,12/04/23 21:00:00,204,90,131,126,,,,,
440,12/04/23 22:00:00,204,90,132,128,,,,,
441,12/04/23 23:00:00,211,88,149,125,,,,,
442,12/05/23 00:00:00,211,88,156,125,,,,,
443,12/05/23 01:00:00,211,105,143,124,,,,,
444,12/05/23 02:00:00,213,135,128,118,,,,,
445,12/05/23 03:00:00,211,114,111,121,,,,,
446,12/05/23 04:00:00,201,108,112,128,,,,,
447,12/05/23 05:00:00,201,104,140,128,,,,,
448,12/05/23 06:00:00,202,101,125,128,,,,,
449,12/05/23 06:30:00,,,,,,,49,,
450,12/05/23 06:40:00,,,,,,,60,,
451,12/05/23 06:50:00,,,,,,,52,,
452,12/05/23 06:55:00,,,,,,,53,,
453,12/05/23 07:00:00,201,100,138,126,,,,,
454,12/05/23 08:00:00,199,98,139,128,,,,,
455,12/05/23 08:20:00,,,,,,,77,,
456,12/05/23 08:30:00,,,,,,212,80,,
457,12/05/23 09:00:00,212,122,156,124,,,,,
458,12/05/23 09:55:00,,,,,,264,,,
459,12/05/23 10:00:00,211,244,147,124,,,,,
460,12/05/23 11:00:00,211,110,153,125,,,,,
461,12/05/23 12:00:00,209,98,147,128,,,,,
462,12/05/23 13:00:00,209,97,139,125,,,,,
463,12/05/23 14:00:00,212,95,138,124,,,,,
464,12/05/23 14:20:00,,,,,,,101,,
465,12/05/23 15:00:00,216,98,178,114,,,,,
466,12/05/23 16:00:00,216,100,190,240,,,,,
467,12/05/23 16:05:00,,,,,,,108,,
468,12/05/23 17:00:00,219,98,168,279,,,,,
469,12/05/23 18:00:00,219,100,170,243,,,,,
470,12/05/23 19:00:00,230,100,129,299,,,,,
471,12/05/23 20:00:00,225,100,122,302,,,,,
472,12/05/23 21:00:00,225,101,126,293,,,,,
473,12/05/23 22:00:00,229,101,131,302,,,,,
474,12/05/23 23:00:00,222,102,145,291,,,,,
475,12/06/23 00:00:00,232,104,128,303,,,,,
476,12/06/23 01:00:00,226,104,135,298,,,,,
477,12/06/23 02:00:00,234,100,122,302,,,,,
478,12/06/23 03:00:00,265,101,119,302,,,,,
479,12/06/23 04:00:00,261,101,119,303,,,,,
480,12/06/23 05:00:00,299,102,115,302,,,,,
481,12/06/23 06:00:00,279,102,110,302,,,,,
482,12/06/23 07:00:00,306,101,118,310,,,,,
483,12/06/23 08:00:00,309,101,118,313,,,,,
484,12/06/23 09:00:00,309,102,115,314,,,,,
485,12/06/23 10:00:00,306,105,124,314,,,,,
486,12/06/23 11:00:00,303,102,119,314,,,,,
487,12/06/23 12:00:00,227,104,118,314,,,,,
488,12/06/23 13:00:00,226,104,119,314,,,,,
